time,open,high,low,close,tick_volume,spread,real_volume
2025-08-04 21:34:00,1.15688,1.15688,1.15676,1.15678,16,53,0
2025-08-04 21:35:00,1.15675,1.15684,1.15675,1.15684,18,57,0
2025-08-04 21:36:00,1.15682,1.15683,1.15659,1.15659,21,60,0
2025-08-04 21:37:00,1.15661,1.15664,1.15659,1.15664,15,73,0
2025-08-04 21:38:00,1.15662,1.15664,1.15656,1.15664,16,78,0
2025-08-04 21:39:00,1.15662,1.15668,1.1565699999999999,1.15658,22,70,0
2025-08-04 21:40:00,1.1566,1.15663,1.15655,1.15662,14,76,0
2025-08-04 21:41:00,1.15664,1.15665,1.1565699999999999,1.15659,12,72,0
2025-08-04 21:42:00,1.15662,1.15672,1.15662,1.15672,17,55,0
2025-08-04 21:43:00,1.15674,1.15674,1.15666,1.15667,7,54,0
2025-08-04 21:44:00,1.15667,1.15676,1.15667,1.15675,11,53,0
2025-08-04 21:45:00,1.15675,1.15682,1.15675,1.15679,8,53,0
2025-08-04 21:46:00,1.1568100000000001,1.15682,1.1568,1.1568100000000001,5,54,0
2025-08-04 21:47:00,1.1568100000000001,1.15682,1.15678,1.15679,11,53,0
2025-08-04 21:48:00,1.15679,1.1568100000000001,1.15679,1.1568,8,53,0
2025-08-04 21:49:00,1.1568,1.1568100000000001,1.15678,1.15678,8,53,0
2025-08-04 21:50:00,1.15679,1.1568100000000001,1.15678,1.1568,14,53,0
2025-08-04 21:51:00,1.1568,1.1568,1.15677,1.15679,6,53,0
2025-08-04 21:52:00,1.15679,1.1568,1.15678,1.15678,10,53,0
2025-08-04 21:53:00,1.15677,1.1568,1.15677,1.15679,7,53,0
2025-08-04 21:54:00,1.15679,1.1568,1.15679,1.15679,3,53,0
2025-08-04 21:55:00,1.15679,1.15693,1.15679,1.15693,4,22,0
2025-08-04 21:56:00,1.15693,1.15693,1.15693,1.15693,1,22,0
2025-08-04 21:57:00,1.15693,1.15693,1.1569,1.1569099999999999,3,22,0
2025-08-04 21:58:00,1.1569099999999999,1.15692,1.1569099999999999,1.1569099999999999,3,22,0
2025-08-04 21:59:00,1.1569099999999999,1.1569099999999999,1.15675,1.15675,3,22,0
2025-08-04 22:00:00,1.1568100000000001,1.1573,1.15666,1.15729,55,9,0
2025-08-04 22:01:00,1.1573,1.15735,1.15728,1.15729,20,9,0
2025-08-04 22:02:00,1.15729,1.15743,1.15723,1.15734,28,9,0
2025-08-04 22:03:00,1.15736,1.15738,1.15717,1.15722,20,9,0
2025-08-04 22:04:00,1.15722,1.15725,1.1571799999999999,1.15725,9,9,0
2025-08-04 22:05:00,1.15728,1.15733,1.15727,1.1573,13,9,0
2025-08-04 22:06:00,1.15728,1.15731,1.15727,1.1573,7,9,0
2025-08-04 22:07:00,1.15731,1.15741,1.1573,1.15741,10,9,0
2025-08-04 22:08:00,1.15741,1.15751,1.1574,1.15747,15,9,0
2025-08-04 22:09:00,1.15747,1.15755,1.15732,1.15754,25,9,0
2025-08-04 22:10:00,1.15754,1.15766,1.15753,1.15765,31,9,0
2025-08-04 22:11:00,1.15762,1.15775,1.15755,1.15757,28,9,0
2025-08-04 22:12:00,1.15757,1.15757,1.15749,1.15751,15,9,0
2025-08-04 22:13:00,1.15751,1.15756,1.1575,1.15755,10,9,0
2025-08-04 22:14:00,1.15755,1.1576,1.15745,1.15753,15,9,0
2025-08-04 22:15:00,1.15753,1.15754,1.15747,1.15747,27,9,0
2025-08-04 22:16:00,1.15747,1.15754,1.15747,1.1575199999999999,6,9,0
2025-08-04 22:17:00,1.1575199999999999,1.1575199999999999,1.15748,1.1575,11,9,0
2025-08-04 22:18:00,1.15749,1.15763,1.15748,1.15762,19,9,0
2025-08-04 22:19:00,1.15762,1.1578,1.15762,1.15775,26,9,0
2025-08-04 22:20:00,1.15774,1.15775,1.15761,1.15775,26,9,0
2025-08-04 22:21:00,1.15775,1.15775,1.15769,1.15775,14,9,0
2025-08-04 22:22:00,1.15775,1.15775,1.15769,1.15769,9,9,0
2025-08-04 22:23:00,1.15769,1.15769,1.15763,1.15767,9,9,0
2025-08-04 22:24:00,1.15767,1.15777,1.15767,1.15774,13,9,0
2025-08-04 22:25:00,1.15774,1.1578,1.15774,1.15779,9,9,0
2025-08-04 22:26:00,1.15779,1.15782,1.15777,1.15777,10,9,0
2025-08-04 22:27:00,1.15777,1.15788,1.15777,1.15787,15,9,0
2025-08-04 22:28:00,1.15787,1.15788,1.1578,1.15786,18,9,0
2025-08-04 22:29:00,1.15786,1.15792,1.15784,1.15791,14,9,0
2025-08-04 22:30:00,1.15791,1.1580300000000001,1.15789,1.15802,30,9,0
2025-08-04 22:31:00,1.15802,1.15802,1.15798,1.15801,16,9,0
2025-08-04 22:32:00,1.15801,1.15805,1.15801,1.15805,9,9,0
2025-08-04 22:33:00,1.15805,1.15808,1.15804,1.15806,16,9,0
2025-08-04 22:34:00,1.15806,1.15807,1.158,1.15806,13,9,0
2025-08-04 22:35:00,1.15806,1.15809,1.15802,1.15805,26,9,0
